"U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P."
31.72,59.13,128.7,39.77,16.61,25.41,0,23.64
32.26,62.05,133.59,40.35,17.16,25.8,0,23.8
32.52,62.55,134.68,40.54,17.43,25.32,0,23.57
32.19,62.41,133.28,40.47,16.89,25.19,0,23.7
32.49,63.66,132.6,40.33,17.26,25.38,0,23.9
32.76,63.86,132.31,40.35,17.12,25.83,0,24.2
32.77,64.63,134.73,40.85,17.14,25.93,0,24.15
31.98,63.69,129.59,40.59,16.93,24.89,0,23.76
31.59,63.95,130.25,40.32,20,24.83,0,23.79
32.09,64.87,134.16,41.25,20.06,25.2,0,24.4
32.35,65.24,133.49,41.31,20.27,25.05,0,24.05
32.58,64.77,134.04,40.97,20.56,25.13,0,23.77
32.61,64.99,134.46,41.1,20.73,25.19,0,23.92
33.15,66.12,138.42,41.51,20.48,25.68,0,24.3
33.18,64.62,137.13,41.42,20.47,25.22,0,23.75
32.96,64.57,137.46,41.33,20.4,24.74,0,23.3
33.25,64.34,137.05,41.26,20.38,24.5,0,23.33
34.16,64.97,138.32,41.25,21.09,25.11,0,24
33.85,64.49,137.15,41.59,20.73,25.25,0,23.87
33.73,64.14,135.63,41.12,20.36,24.83,0,23.56
33.7,64.95,135.94,41.26,20.62,25.25,0,23.77
32.89,63.51,132.76,40.72,20.68,24.93,0,23.51
31.29,63.89,134.12,40.72,20.71,24.81,0,23.55
30.56,62.63,131.01,39.93,21.3,24.54,0,23.41
30.56,62.63,131.01,39.93,21.3,24.54,0,23.41
30.98,62.77,132.42,39.78,21.62,24.75,0,23.12
30.3,61.55,130.91,39.55,20.33,24.4,0,23.09
30.84,61.77,132.46,39.68,20.66,24.8,0,23.47
31.18,62.17,134.95,39.84,20.81,25.18,0,23.78
31.43,61.89,134.29,39.8,20.88,25.26,0,24.01
31.74,62.28,135.27,39.9,21.13,25.77,0,24.19
31.93,62.17,134.98,40,20.95,25.36,0,23.98
31.91,61.07,130.42,40.1,20.4,25.53,0,23.97
31.85,61.14,129.85,39.8,20.58,25.27,0,23.58
32.55,62.47,133.55,40.1,20.71,25.72,0,23.78
32.79,61.92,133.17,40.38,20.84,26,0,23.86
33.73,62.16,132,40.37,20.99,25.98,0,24.06
34.03,62.36,134.14,40.63,20.54,25.86,0,23.94
33.99,62.71,138.53,40.81,20.82,26.19,0,24.51
34.27,62.62,138.98,41.19,21.25,26.23,0,24.72
33.87,61.65,132,40.49,21.47,26.23,0,24.73
33.39,62.27,128.02,40.67,21.35,25.77,0,24.38
33.14,61.28,128.6,40.64,20.71,25.2,0,24.01
32.93,61.61,129.34,40.67,20.58,25.06,0,23.9
32.41,61.23,128,40.75,20.73,25.39,0,23.89
31.98,60.54,125.95,40.59,20.05,25.62,0,23.64
31.56,60.78,126.34,40.54,20.13,25.57,0,23.53
31.79,60.97,127.51,40.51,20.95,26.02,0,24.06
31.86,61.07,130.23,40.48,20.45,26.67,0,23.89
31.55,61,130.07,40.45,20.48,26.3,0,23.69
31.49,60.78,129.85,40.17,20.53,26.16,0,22.83
30.51,60.16,126.02,39.63,20.48,26.47,0,22.26
30.59,59.66,125.63,39.1,20.45,26.2,0,22
30.99,60.79,128.18,39.65,20.74,26.28,0,22.01
31.59,61.86,136.39,39.89,21.18,26.42,0,22.03
31.3,61.54,136.45,40.24,21.41,26.19,0,21.9
30.51,60.11,134.62,39.87,21.91,25.83,0,21.67
30.71,60.01,134.9,40.14,21.99,25.56,0,21.65
31.11,60.25,135.64,39.88,22,26.07,0,21.78
31.6,60.57,136.15,40.28,22.33,26.4,0,22.06
31.32,59.89,134.75,40.04,22.13,26.09,0,21.88
31.55,60.24,134.1,40.06,22.37,26.07,0,22.1
31.83,60.12,134.65,39.95,22.47,26.46,0,22.2
31.69,60.28,133.9,39.73,23.19,26.26,0,22.16
32.04,60.71,135.25,39.86,23.15,25.98,0,22.13
32.12,60.56,136.1,39.98,22.81,25.96,0,22.18
32.96,62.21,138.99,40.62,22.72,26.44,0,22.6
33.21,62.87,143.42,41.12,22.48,26.5,0,22.72
33.21,62.87,143.42,41.12,22.48,26.5,0,22.72
33.14,62.66,142.5,41.04,22.72,26.46,0,22.62
33.77,63.26,143.38,41.26,23.07,26.63,0,22.69
33.99,63.39,145.75,41.75,23.82,26.77,0,22.63
33.25,63.12,144.43,41.54,23.37,26.64,0,22.68
33.08,64.28,145.9,41.95,23.59,26.79,0,22.7
32.75,64.48,145.92,41.94,23.2,26.7,0,22.59
32.59,64.44,145.47,41.64,23.62,26.37,0,22.65
32.06,64.09,144.1,41.8,23.69,26.21,0,22.57
31.92,63.25,143.22,42,23.44,26.09,0,22.61
31.68,63.63,143.84,42,23.42,26.12,0,22.77
32.56,64.53,147.01,42.31,23.34,25.99,0,23.22
33.08,63.63,145.69,42.35,23.19,25.98,0,23.28
33.06,63.62,145.4,42.25,23.19,25.92,0,23.75
32.38,63.57,144.91,42.45,23.17,25.04,0,23.51
31.94,62.31,141.13,41.92,23.31,24.77,0,23.12
32.16,63.17,144.62,41.8,24.8,25.18,0,23.11
32.46,64.16,145.28,42.23,25.76,25.18,0,23.07
32.34,63.64,144.38,42.04,25.06,25.27,0,23.2
32.59,64.16,148.92,42.68,24.38,26.05,0,23.16
30.77,64.97,147.07,42.58,24.4,26.04,0,23.1
30.85,64.89,147.09,42.55,24.32,25.71,0,23.46
30.75,65.06,146.97,42.66,24.41,25.58,0,23.59
30.9,65.04,146.96,42.75,24.72,27.18,0,23.95
30.81,64.26,143.94,42.08,24.47,27.62,0,23.64
30.81,63.66,143.37,42.02,24.35,27.4,0,23.92
30.43,63.36,142.54,42.16,24.74,27.5,0,23.71
30.9,63.32,143.27,42.18,24.62,27.8,0,23.89
30.07,61.68,140.76,42.18,24.01,27.8,0,23.88
29.74,62.01,142.33,42.2,23.93,27.69,0,23.88
29.69,62.8,146.81,42.32,24.04,27.9,0,24
30.49,62.31,146.4,42.15,24.33,27.95,0,23.78
30.44,61.89,145.33,42.05,24.73,28.6,0,23.89
30.48,62.34,145.53,42.15,24.85,28.4,0,23.73
31.03,62.69,144.44,42.18,25.08,28.7,0,23.74
30.9,63.13,144.76,42.25,25.06,28.46,0,23.79
31.22,63.15,144.91,42.08,25.91,28.38,0,23.74
30.97,62.91,143.51,41.66,26.47,27.7,0,23.7
30.83,62.58,145.34,41.89,26.7,27.31,0,23.45
31.25,61.75,143.15,42.03,27.36,29.11,0,24.14
30.57,61.46,141.21,41.82,26.57,28.62,0,23.88
31.35,63.38,147.49,42.56,26.68,29.23,0,24.63
30.82,64.37,151.55,43.25,26.59,29.1,0,24.74
30.71,64.9,150.05,43.11,28.36,28.94,0,24.51
31.26,65.88,150.09,43.05,28.28,29.2,0,24.73
31.71,66.55,151.39,43.41,29.3,29.35,0,24.9
31.46,67.34,152.19,43.54,27.87,29.08,0,24.75
33.06,67.9,152.79,44.09,28.79,29.52,0,26.48
32.75,67.42,153.59,43.91,30.91,29.27,0,26.5
32.88,67.4,154.03,44.03,30.66,28.89,0,26.48
33.06,67.25,155.24,43.99,30.88,29.11,0,26.6
32.85,67.27,153.6,43.76,31.16,29.41,0,26.86
32.89,66.25,151.62,43.7,30.59,29.01,0,27.05
33,66.68,153.2,44.22,30.8,29.7,0,27.67
33,66.5,152.28,43.99,30.9,29.99,0,28.12
33.18,67.08,156.96,44.5,31.48,30.42,0,28.31
33.34,67.79,158.57,44.82,32.92,30.39,0,28.32
33.45,67.7,158.69,44.86,31.91,30.23,0,28.67
33.45,67.7,158.69,44.86,31.91,30.23,0,28.67
33.89,67.65,159.42,45.1,33.61,30.38,0,28.85
33.67,67.76,158.49,44.85,32.79,30.7,0,29.3
33.25,68.36,157.5,44.99,34.24,30.99,0,30.59
33.65,67.56,156.07,45.04,32.81,31.27,0,30.52
34.12,69.29,158.08,44.75,34.32,31.89,0,30.85
34.02,69.84,159.01,44.9,33.89,32.05,0,31.11
34.22,69.78,158.07,44.68,33.51,32.04,0,31.73
33.94,69.44,159.45,44.95,33.52,32.07,0,31.57
33.1,68.75,157.85,44.12,33.2,31.65,0,31.36
33.34,69.6,158.92,44.95,32.75,32.02,0,31.37
33.18,70.36,159.54,45.38,33.2,32.03,0,31.88
33.34,71.07,164.26,45.91,33.22,32.1,0,32.45
32.71,70.08,162.31,45.69,32.74,31.47,0,32.7
33.16,70.83,164.85,46.57,32.67,32.39,0,32.98
32.83,70.55,165,46.46,31.86,31.82,0,31.98
32.88,70.5,166.03,46.74,32.16,32.33,0,32.6
32.95,71.12,165.13,46.32,33.07,34.77,0,33.53
32.84,71.97,166.14,46.18,33.4,35.09,0,33.57
33.16,70.76,168.95,46.23,33.68,34.47,0,33.43
33.73,70.3,168.51,46.54,33.95,35.81,0,34.39
33.34,69.74,167.75,46.07,33.6,35.26,0,34.3
33.34,69.74,167.75,46.07,33.6,35.26,0,34.3
33.35,70.13,168.62,46.21,33.39,35.55,0,34.51
33.71,70.84,170.21,46.42,33.42,35.41,0,34.42
33.63,69.98,168.48,46.56,33.16,35.35,0,34.52
33.39,69.49,168.59,46.65,32.65,35.05,0,33.74
33.39,69.49,168.59,46.65,32.65,35.05,0,33.74
33.51,69.1,164.3,46.2,32.21,34.48,0,33.58
33.33,68.32,162.52,46.3,31.2,34.92,0,32.69
33.66,68.15,163.4,46.15,32.18,35.11,0,32.91
33.89,67.92,164.49,46.39,32.9,36.8,0,34
33.1,68,162.3,46.15,32.56,35.99,0,34.33
33.63,69.52,163.4,46.47,32.15,36.12,0,33.88
33.92,70.04,162,46.25,32.06,35.98,0,34.14
35.11,70.63,162.5,46.49,32.17,36.81,0,34.45
35.03,71.02,165.54,46.71,32.18,36.48,0,34.47
35.03,71.02,165.54,46.71,32.18,36.48,0,34.47
36.03,72.67,168.73,47.51,31.7,36.16,0,34.13
36.54,73.51,173.59,48.26,28.81,37.21,0,34.12
36.07,73.73,175.48,48.28,28.21,37.16,0,33.8
36.35,74.51,179.64,48.65,28.59,37.74,0,33.88
37.12,77.1,195.23,49.52,29.4,37.49,0,34.1
37.02,77.66,194.95,49.67,29.69,38.47,0,34.14
37.63,77.44,200.58,49.98,30.23,38.82,0,34.33
36.81,75.36,200.6,49.63,30.75,39.6,0,34.57
37.05,75.5,180.29,49.43,29.82,39.32,0,34.4
38.03,79.03,163.48,49.05,30,39.18,0,34.21
37.11,78.38,171.39,48.86,30.77,38.85,0,33.94
36.45,77.52,165.59,49.02,31.32,39.47,0,34.73
36.83,78.21,170.49,49.43,31.73,39.91,0,35.51
35.58,75.18,166.56,48.09,31.36,38.58,0,34.38
34.47,72.38,165.48,46.72,29.85,37.06,0,32.65
34.88,74.11,163.22,47.25,30.04,38.02,0,33.41
34.68,73.43,177.32,46.85,30.73,37.79,0,33.25
33.5,70.99,169.28,45.83,30.5,36.24,0,31.3
33.43,71,166.22,45.29,28.95,35.5,0,31.72
33.2,71.54,162.92,45.65,28.44,35.23,0,31.68
33.13,73.15,164.66,46.08,28.48,35.91,0,31.32
34.44,74.45,164.16,47.06,28.91,36.39,0,32.28
35,74.84,164.01,47.61,28.84,37.32,0,32.46
34.47,75.02,164.28,47.77,28.74,37.34,0,34.23
34.47,75.02,164.28,47.77,28.74,37.34,0,34.23
34.71,75.04,164.92,47.89,29.44,37.6,0,34.8
34.4,75.06,166.36,47.97,28.75,35.01,0,34.59
34.51,72.95,164.19,47.14,28.27,34.05,0,33.76
35.38,74.33,167.13,47.68,28.42,35.27,0,33.42
35.33,73.95,169,47.77,28.91,35.29,0,34.54
34.27,73.04,168.75,47.08,28.97,34.96,0,33.51
34.23,72.81,167.5,46.69,27.89,35.38,0,33.5
33.28,70.85,163.42,46.02,28.21,34.93,0,32.09
33.73,71.51,163.06,46.19,28.25,35.31,0,32.51
33.85,71.57,165.06,46.12,27.58,35.29,0,32.51
34.75,72.64,166.78,46.6,28.27,35.65,0,32.44
34.86,73.04,168.41,46.41,27.81,35.8,0,32.51
35.91,76.62,179.11,47.76,28.28,35.71,0,32.75
36.79,76.47,188.89,48.65,28.34,35.4,0,32.91
36.77,75.63,191.79,48.8,28.36,34.4,0,33.3
35.79,73.86,185.41,47.95,28.88,33.36,0,32.02
35.69,73.9,185.22,47.63,28.72,33.86,0,31.98
35.68,74.77,186.21,47.65,29.21,33.11,0,31.37
35.99,75.05,184.76,47.57,28.43,33.2,0,31.28
36.28,75.05,181.62,47.42,26.45,33.6,0,31.02
36.73,75.15,184.19,47.42,25.52,33.53,0,31.25
36.12,73.32,178.92,47.25,25.33,33.58,0,31.09
34.53,71.34,175.54,46.02,24.23,32.2,0,30.21
33.26,69.32,175.88,45.13,23.56,31.04,0,29.4
34.92,70.45,177,46.24,24.07,31.99,0,29.81
34.86,71.66,177.73,45.96,23.84,31.81,0,29.58
34.1,70.78,176.04,45.42,23.35,31.33,0,28.94
35.02,71.9,182.36,46.05,23.23,31.86,0,29.28
35.02,71.9,182.36,46.05,23.23,31.86,0,29.28
33.88,70.58,181,45.11,22.79,30.76,0,28.47
34.44,70.95,180.3,45.47,23.4,31.4,0,28.24
34.93,70.04,179.58,45.45,24.09,32.03,0,28.73
35.57,71.11,181.24,45.53,25.06,33.12,0,29.55
34.13,69.22,178.49,44.83,24.58,32,0,28.97
34.37,69.88,180.38,45.55,24.15,31.84,0,28.64
34.67,71.41,183.28,46.17,24.16,32.37,0,28.89
33.68,70.85,179.83,46.05,23.42,32.49,0,28.69
34.93,72.37,186.64,46.74,23.72,33.18,0,29.24
34.4,71.82,183.81,47.02,23.12,32.74,0,28.83
34.77,72.95,188.7,47.3,24.14,33.93,0,29.56
36.11,73.5,190.65,47.51,25.15,34.4,0,29.62
36.41,74.42,192.91,48.27,25.32,35.04,0,30.12
35.56,73.84,191.65,47.88,25.24,35.03,0,30.31
35.44,73.89,192.51,47.63,26.09,34.99,0,30.21
36.17,74.44,193.24,47.92,25.75,35.02,0,30.74
35.52,73.79,190,47.33,25.8,34.24,0,30.32
35.33,72.34,182.89,46.84,25.57,33.75,0,30.19
32.29,73.11,184.26,46.73,26.05,33.45,0,30.41
31.28,72.33,185.11,46.91,26.32,33.11,0,30.04
31.42,73.33,186.19,46.83,26.75,33.21,0,30.19
31.4,74.86,191.85,47.03,26.8,34.04,0,30.2
31.22,75.25,191.03,47.73,27.65,33.95,0,32.36
31.28,75.36,191.62,47.56,27.15,33.44,0,32.21
31.86,76.38,192.41,47.75,26.82,33.7,0,32.73
31.61,76.88,191.91,47.67,28.02,33.4,0,32.96
32.06,76.64,191.75,47.46,27.6,33.96,0,33.2
32.9,77.89,199.21,47.63,27.61,33.61,0,33.46
33.37,79,201.51,48.39,29,35.27,0,34.04
31.8,78.14,195.65,48.45,28.65,34.99,0,33.72
32.32,77.49,191.63,49.52,28.84,36.06,0,33.7
31.73,77.88,190.92,49,29.79,36.16,0,33.88
31.92,78.36,192.51,49.31,30.14,36.3,0,34.36
32.18,78.06,189.98,49.47,30.59,36.88,0,34.8
32.34,77.91,189.03,49.35,30.9,36.55,0,34.7
32.01,79.26,194.18,50.29,30.97,37.01,0,34.64
31.58,79,193.88,50,30.31,36.44,0,34.08
31.6,79.3,194.61,49.55,30.49,36.25,0,33.81
31.32,79.31,193.65,49.71,30.44,36.58,0,34.08
31.45,79.35,194.21,49.86,30.12,37.17,0,34
31.45,79.35,194.21,49.86,30.12,37.17,0,34
31.3,79.58,193.39,49.35,29.68,37.33,0,33.83
31.89,80.26,195.67,49.6,30.1,37.9,0,34.16
31.45,80.61,196.01,49.84,30.52,37.75,0,34.44
31.79,80.47,192.5,49.42,31.07,38.61,0,35.22
31.54,79.82,182.83,49.12,31.32,38.22,0,35.36
30.86,78.7,176.88,48.28,31.42,36.99,0,35.32
31.55,78.9,179.51,48.8,31.46,38.03,0,35.18
31.35,77.68,176.25,48.67,30.81,37.45,0,34.46
30.78,78,178.12,48.22,30.19,36.58,0,33.93
31.59,79.13,180.82,48.88,29.73,36.95,0,34.09
31.64,80.29,179.39,49,30.1,37.13,0,34.3
30.95,80.32,176.42,48.19,29.74,36.88,0,34.05
31.43,80.6,176.25,48.52,30.14,36.19,0,33.93
31.23,80.37,173.31,47.68,30.17,36.57,0,34.81
31.32,81.27,175.09,47.9,31.23,36.85,0,34.8
29.91,79.34,172.42,47.26,30.9,36.68,0,34.64
30.54,80.02,174.44,47.72,29.58,36.88,0,34.84
30.31,79.4,172,47.55,29.61,36.77,0,34.81
30.07,79.8,170.14,47.52,28.69,36.58,0,34.72
29.27,75.86,166.54,46.29,27.94,34.79,0,33.22
29.16,77.23,167.2,46.11,28.24,35.43,0,33.43
28.37,75.93,163.91,45.54,27.15,34.6,0,32.85
28.38,75.62,164.01,45.39,27.11,34.5,0,32.94
29.03,76.36,167.34,45.85,26.99,34.66,0,33.5
28.16,71.27,154.14,44.36,26.67,34.48,0,33.72
27.98,70.95,152.17,44,26.9,35.14,0,34.13
27.98,70.95,152.17,44,26.9,35.14,0,34.13
28.41,72.22,154.84,44,28.17,35.74,0,34.3
28.97,72.37,156.86,44.64,28.21,36.79,0,34.45
29.46,73.32,160.13,45.44,28.63,37.08,0,35.73
29.93,73.63,165.38,45.71,28.27,37.26,0,35.98
29.89,72.3,161.19,45.19,28.98,37.34,0,36.12
30.5,73.18,164.53,45.93,28.99,38.19,0,36.64
30.95,73.73,165.24,46.09,29.35,38.17,0,36.57
31.12,74.08,166.03,46.31,31.28,37.93,0,35.71
31.25,74.49,164.96,46.14,33.15,38.34,0,35.63
31.02,74.67,164.95,46.08,33.83,37.91,0,35.26
30.82,74.05,163.57,45.87,34.15,38.11,0,35.7
31.2,73.85,163.92,46.14,34.01,38.35,0,35.92
30.97,73.86,163.74,45.9,33.92,37.83,0,35.83
30.77,74.5,163.56,46.15,33.03,37.64,0,35.04
31.52,75.12,165.8,47,33.1,37.72,0,35.1
31.22,71.3,165.26,46.11,32.16,36.51,0,34.31
30.72,71.53,163.39,45.96,31.28,35.39,0,34.23
30.77,70.26,161.82,45.87,30.52,35.92,0,34.5
31.37,71.9,166.78,46.09,31.13,37.35,0,35.34
28.51,69.01,159.99,45,29.8,35.48,0,34.07
28.97,68.44,149.54,44.25,28.89,36.16,0,32.86
28.53,68.65,149.19,43.83,29,36.78,0,33.46
29.33,69.2,152.95,43.59,29.15,36.68,0,32.99
29.63,69.03,153.29,43.87,28.58,36.03,0,31.96
28.95,68.66,153.89,43.75,28.51,35.87,0,32.21
29.11,68.52,152.32,43.89,25.69,35.7,0,31.88
28.86,67.85,148.52,43.35,25.97,35.08,0,30.86
29.03,67.09,148,42.68,25.95,34.4,0,30.84
28.98,66.72,143.87,42.47,26.44,35.36,0,31.56
28.37,64.46,138.17,41.26,26.43,35.18,0,31.53
28.28,65.11,139.6,41.46,27.33,35.66,0,32.12
28.55,65.86,142.33,41.86,26.61,35.8,0,32.31
28.58,65.63,145.78,42.2,27.48,36.57,0,32.09
29.01,66.26,145.33,42.57,27.8,36.56,0,32.39
28.83,65.64,145.05,42.77,27.83,36.93,0,32.5
28.55,65.51,145.14,42.34,29.09,36.97,0,32.9
28.5,65.54,145.9,42.7,29.11,36.88,0,33.03
29.23,66.72,148.73,43.37,28.5,36.08,0,32.45
29.16,66.2,147.96,43.2,28.85,36.24,0,32.84
29.6,66.22,148.76,43.42,29.01,36.4,0,32.95
28.88,65.71,148.53,42.85,28.47,36.21,0,32.62
28.99,65.42,148.34,42.76,29.01,36.42,0,32.64
28.99,65.42,148.34,42.76,29.01,36.42,0,32.64
27.96,64.5,143.03,42.03,27.56,35.3,0,31.19
27.66,63.11,140.37,41.59,26.99,34.49,0,30.83
27,61.08,127.85,40.4,24.83,32.97,0,29.1
26.75,60.62,128.38,39.78,24.21,32.84,0,29.79
26.95,61.2,134.2,39.74,23.59,33.25,0,29.89
26.93,60.5,133.49,39.36,25.29,33.45,0,30.27
27.26,61.24,134.94,39.24,26.49,34.46,0,30.41
27.48,61.25,135.18,39.92,26.29,33.78,0,28.94
27.68,61.41,135.28,40.04,26.5,33.57,0,28.01
27.42,61.23,132.45,39.97,26.43,33.14,0,28.33
27.59,60.41,132.97,40.34,26.97,33.72,0,28.22
28.37,60.95,135.73,40.75,26.81,33.37,0,27.62
28.53,60.97,137.31,40.91,24.73,34.46,0,27.96
28.49,60.95,136.73,41.01,23.3,34.36,0,28.03
27.91,60.46,132.98,40.44,23.02,33.68,0,27.53
27.87,60.66,133.94,40.47,23.4,34.05,0,27.48
27.6,59.82,131.67,40.38,22.9,33.92,0,27.39
27.72,59.76,128.94,39.93,23.7,33.83,0,27.08
27.91,59.33,127.06,39.7,24.01,33.85,0,26.65
26.93,59.75,125.29,39.63,24.74,33.51,0,26.19
26.82,59.2,123.81,39.01,24.69,33.16,0,25.87
27.53,60.82,127.14,39.48,25.5,34.05,0,26.21
26.91,59.35,123.44,38.9,25.53,33.67,0,26.29
26.24,58.7,120.63,38.36,24.02,32.04,0,25.06
26.47,58.31,116.27,37.6,23.08,31.73,0,23.86
27.34,58.28,118.96,37.77,23.19,32.21,0,24.38
26.23,56.33,115.11,36.91,22.27,31.08,0,23.67
25.95,55.49,116.22,36.65,22.21,31.69,0,23.75
26.45,56.15,116.58,37.2,22.08,31.84,0,24.58
26.79,55.82,114.67,37.08,21.28,31.7,0,24.72
27.61,57.27,117.83,37.9,21.67,32.71,0,25.22
27.92,57.36,118.29,38.04,22.11,32.94,0,25.74
27.33,56.04,113.87,37.65,21.6,31.74,0,25.9
26.65,55.66,110.2,37.53,20.91,31.08,0,24.87
26.1,54.89,108.7,37.42,18.83,30.5,0,23.71
25.32,53.37,102.69,36.12,17.79,29.29,0,22.35
24.21,52,99.42,35,18.02,27.66,0,21.72
25.3,54.26,103.22,35.42,18.97,29.59,0,23.18
24.94,52.39,100.51,34.89,18.55,26.01,0,22.54
24.23,50.73,94.18,34.27,17.06,24.41,0,21.74
25.19,50.89,97.6,34.37,17.82,25.06,0,22.18
26.68,51.03,100.6,35.49,18.17,26.56,0,23.14
27.9,57.06,112.63,37.21,19.27,28.41,0,25.07
28.17,56.25,111.69,37.59,18.63,27.79,0,24.91
27.62,55.12,109.3,37,17.61,27.04,0,24.37
27.38,55.41,109.69,36.77,17.43,27.45,0,24.33
27.93,56.57,113.99,37.3,17.3,27.33,0,24.08
26.95,53.71,99.02,36.19,17.69,26.75,0,25.47
25.54,52.09,98.32,35.12,14.44,24.95,0,23.78
25.18,51,99.5,34.43,14.77,23.65,0,23.06
25.73,51.55,101.99,34.92,14.32,23.62,0,24.11
25.94,52.48,103.24,35.3,14.9,24.63,0,24.63
26.4,53.73,106.4,35.9,15.45,25.17,0,24.19
26.58,53.81,107.76,36.2,16.03,24.87,0,23.43
25.67,50.45,104.22,35.58,15.04,23.75,0,22.86
25.11,50.33,100.95,34.58,14.94,22.5,0,21.87
26.06,51.96,105.73,35.6,15.18,23.46,0,22.93
26.06,51.96,105.73,35.6,15.18,23.46,0,22.93
25.81,50.74,104.33,35.55,15.31,23.07,0,22.94
27.11,54.44,111.52,36.72,15.91,23.92,0,23.78
27.43,54.11,112.83,36.57,16.4,23.59,0,23.81
27.78,55.15,112.8,37.19,17.64,24.95,0,25.64
27.32,54.47,108.12,36.65,18.24,24.86,0,26.16
26.96,54.94,109.4,36.45,18.09,24.82,0,26.16
28.02,58.34,119.79,38.01,18.41,25.75,0,26.26
27,55.57,110.36,36.88,17.65,24.42,0,24.32
27,55.57,110.36,36.88,17.65,24.42,0,24.32
27.42,55.69,112.41,36.35,18.19,24.37,0,24.26
25.99,53.34,104.99,35.45,17.52,23.75,0,23.2
25.82,53.46,106.24,35.24,17.48,24,0,23.48
25.63,54.24,105.54,35.36,17.13,23.41,0,22.94
