"D.2TP.P.","BATS.P.","ID.GUD.P.","X.IMBBY.P.","U.VGR.P.","U.STZ.P.","U.TPB.P.","U.RLX.P.","U.PM.P."
0.53,51.13,3.2,53.35,20.32,135.61,0,0,89.4
0.57,51.1,3.05,53.76,20.21,135.11,0,0,89.26
0.57,50.69,3.05,53.88,19.95,134.8,0,0,88.4
0.6,50.17,3.09,53.95,19.86,135.08,0,0,88.81
0.5,50.46,3.18,53.9,19.07,134.41,0,0,88.34
0.47,50.66,3.43,53.88,19.14,133.2,0,0,88.07
0.47,50.7,3.41,53.4,19.49,133.26,0,0,88.16
0.47,50.04,3.42,52.82,19.53,132.11,0,0,86.37
0.47,49.56,3.37,52.27,19.53,132.27,0,0,85.25
0.44,49.64,3.29,52.38,19.7,134.78,0,0,84.96
0.53,49.71,3.34,52.92,19.86,134.98,0,0,85.05
0.53,48.92,3.48,52.55,19.65,133.38,0,0,84.02
0.4,48.67,3.37,52.26,19.66,132.2,0,0,83.4
0.4,49.14,3.46,55.12,19.82,135.26,0,0,84.35
0.31,50.07,3.63,54.6,19.85,138.11,0,0,83.84
0.27,50.02,3.52,53.99,20.03,138.29,0,0,85.43
0.3,50.71,3.5,53.27,20.16,137.46,0,0,86.25
0.32,50.83,3.64,53.63,20.34,137.62,0,0,85.99
0.35,50.82,3.51,53.76,20.45,142.08,0,0,86.59
0.28,50.57,3.51,53.6,20.61,141.34,0,0,86.9
0.3,50.87,3.58,53.94,20.62,143.19,0,0,87.17
0.28,50.9,3.66,53.94,20.62,143.19,0,0,87.17
0.36,51.21,3.55,54.48,20.7,143.79,0,0,87.42
0.36,50.81,3.47,53.92,20.82,140.26,0,0,87.39
0.35,51.05,3.62,54.65,20.8,142.85,0,0,87.78
0.42,51.11,3.61,53.93,20.9,141.84,0,0,87.3
0.37,50.12,3.66,54.2,20.82,140.5,0,0,87.34
0.35,49.66,3.64,53.96,20.92,144.67,0,0,89.7
0.29,50.38,3.6,53.7,20.45,141.8,0,0,88.79
0.18,49.91,3.64,52.69,20.44,142.99,0,0,88.77
0.21,49.1,3.64,52.54,20.09,140.18,0,0,88.02
0.18,48.52,3.69,51.98,19.52,139.98,0,0,87.73
0.17,47.27,3.61,51.83,18.99,138.3,0,0,86.32
0.18,47.15,3.44,51.76,19.05,137.69,0,0,87.16
0.16,48.41,3.5,52.5,19.18,139.28,0,0,87.84
0.17,48.85,3.61,53.09,19.39,142.96,0,0,90.15
0.17,49.03,3.66,52.26,19.13,139.89,0,0,89.08
0.15,48.16,3.68,51.45,18.86,138.57,0,0,86.92
0.16,48.04,3.68,51.52,19.19,141.4,0,0,86.62
0.18,48.2,3.81,51.9,19.38,142.63,0,0,87.66
0.18,49.2,3.84,52.84,19.77,143.69,0,0,89.08
0.18,49.66,3.84,53,19.63,143.03,0,0,88.86
0.18,49.66,3.84,53,19.63,143.03,0,0,88.86
0.16,49.66,3.83,52.63,19.63,143.27,0,0,88.59
0.16,49.99,3.87,53.65,19.73,144.25,0,0,89.36
0.15,49.77,3.91,53.12,19.69,144.17,0,0,88.98
0.15,49.53,3.91,52.88,19.41,142.44,0,0,87.91
0.15,49.53,3.91,52.88,19.41,142.44,0,0,87.91
0.15,48.41,3.81,52.26,18.99,140.69,0,0,87
0.13,48.72,3.79,52.02,19.08,143.62,0,0,87.87
0.12,48.97,3.89,52.35,18.95,143.12,0,0,87.85
0.12,48.13,3.84,51.21,18.9,149.61,0,0,87.25
0.12,47.69,3.91,50.6,18.6,147,0,0,86.71
0.15,47.92,3.87,51.16,18.98,147.05,0,0,89.17
0.15,48.57,3.98,52.06,19.03,147.04,0,0,89.09
0.15,48.87,3.97,51.23,18.96,144.13,0,0,88.31
0.15,47.8,3.96,51.3,19.26,143.25,0,0,87.88
0.12,47.22,4,49.92,18.74,142.75,0,0,86.29
0.13,47.44,3.94,49.92,18.74,142.75,0,0,86.29
0.13,47.9,3.91,50.4,18.72,145.62,0,0,87.47
0.13,46.83,3.94,49.12,18.46,145.14,0,0,85.86
0.13,47.02,3.93,49.28,18.47,143.45,0,0,85.8
0.14,47.62,3.92,50.98,18.9,148.76,0,0,86.87
0.14,48.03,3.9,50.83,18.63,148.25,0,0,86.68
0.15,48.38,3.97,51.58,18.59,148.38,0,0,87.31
0.15,49.44,4.17,52.22,18.57,146.11,0,0,88.09
0.15,49.5,4.12,52.73,18.82,151.82,0,0,89.06
0.2,51.19,4.14,54.18,19.19,152.48,0,0,90.01
0.2,50.75,4.12,54.88,19.39,154.36,0,0,89.41
0.15,50.65,4.11,54.2,19.18,152.51,0,0,89.35
0.15,49.98,4.14,54.1,18.96,150.4,0,0,89.79
0.15,49.3,4.25,52.74,18.84,146.95,0,0,89.1
0.15,48.95,4.27,50.55,18.75,137.95,0,0,89.55
0.15,49.01,4.27,50.98,18.31,134.95,0,0,89.72
0.13,49.08,4.3,50.74,18.1,136.09,0,0,90.02
0.17,48.5,4.37,50.45,18.33,138.8,0,0,89.23
0.17,48.35,4.33,52.27,17.9,135.61,0,0,88.34
0.16,48.71,4.31,51.24,18.26,138.03,0,0,89.06
0.16,49.58,4.37,51.24,18.26,138.03,0,0,89.06
0.16,50.49,4.37,52.97,18.12,139.29,0,0,90.12
0.16,51.09,4.51,53.38,18.47,142.01,0,0,91.23
0.16,50.56,4.51,53.12,18.45,140.33,0,0,91.65
0.16,50.31,4.55,53.69,18.51,139.51,0,0,91.94
0.2,50.75,4.64,52.64,18.51,140.6,0,0,92.54
0.21,50.48,4.69,52.24,18.51,139.47,0,0,92.05
0.21,50.36,4.65,52.18,18.77,139.08,0,0,91.46
0.2,50.93,4.39,53.31,19.09,143.64,0,0,92.45
0.3,51.42,4.47,52.08,19.01,142.05,0,0,91.45
0.27,51.56,4.52,51.52,19.11,141.43,0,0,91.03
0.27,52.54,4.49,53.2,18.62,144.52,0,0,91.54
0.28,52.13,4.58,53,18.39,143.78,0,0,91.56
0.28,51.99,4.69,52.42,18.87,144.45,0,0,93.26
0.27,53.12,4.7,52.34,19.19,143.9,0,0,94.49
0.52,52.65,4.62,52.25,19.41,138.71,0,0,93.9
0.52,52.7,4.48,52.09,19.25,139.97,0,0,94.45
0.52,53.13,4.48,52.46,19.38,140.28,0,0,96.01
0.51,52.34,4.66,52.62,19.22,140.5,0,0,96.84
0.27,53.54,4.62,54.17,19.12,142.06,0,0,96.49
0.31,53.87,4.68,53.45,18.85,141.9,0,0,96.44
0.31,54.22,4.66,53.01,18.93,144.13,0,0,96.44
0.27,54.08,4.47,54,19.09,144.54,0,0,97.18
0.33,53.09,4.44,55.45,18.88,146.84,0,0,98.9
0.43,52.24,4.33,55.17,18.82,147.04,0,0,98.17
0.27,52.22,4.32,54.77,18.72,147.2,0,0,98.59
0.3,52.32,4.21,53.53,18.51,149.42,0,0,96.74
0.27,53.12,4.34,53.52,18.57,150.11,0,0,97.07
0.23,52.48,4.3,53.64,18.48,149.9,0,0,97.57
0.23,52.48,4.3,53.64,18.48,149.9,0,0,97.57
0.23,52.48,4.21,53.83,18.58,149.41,0,0,97.86
0.22,52.48,4.33,55.56,18.68,149.71,0,0,98.86
0.22,53.52,4.46,55.52,18.84,151.6,0,0,98.69
0.22,53.72,4.64,55.52,18.79,151.09,0,0,98.11
0.21,53.64,4.63,54.36,18.67,152.68,0,0,99.75
0.27,53.83,4.68,55.13,18.91,151.47,0,0,100.36
0.27,54.09,4.73,54.35,18.3,151.36,0,0,100.26
0.3,54.17,4.76,54.38,18.14,160.34,0,0,101.17
0.27,54.49,4.77,54.08,17.78,157.37,0,0,100.58
0.27,55.03,4.69,54.08,17.82,159.01,0,0,100.88
0.27,55.08,4.69,54.13,17.66,157.47,0,0,100.33
0.27,54.74,4.79,54.12,17.8,156.95,0,0,101.63
0.28,54.99,4.75,53.4,17.76,156.05,0,0,100.33
0.28,55.3,4.65,52.99,17.62,156.84,0,0,99.76
0.28,55.59,4.62,53.13,17.69,156.71,0,0,100.11
0.3,56.22,4.76,54.22,17.71,158.05,0,0,100.6
0.24,56.23,4.75,54.45,17.61,157.3,0,0,99.28
0.43,56.01,4.68,53.4,17.61,156.01,0,0,98.13
0.31,54.84,4.65,51.99,17.28,155.16,0,0,96.42
0.28,54.29,4.76,51.83,17.2,154.85,0,0,96.92
0.27,54.67,4.83,53.24,17.39,156.84,0,0,97.53
0.27,54.44,4.91,53.62,17.5,156.25,0,0,97.24
0.4,54.67,4.98,53.49,17.38,156.64,0,0,97.27
0.27,54.98,5.08,53.33,17.33,155.58,0,0,97.35
0.33,54.77,4.92,54.3,17.77,156.06,0,0,98.12
0.32,54.77,5.08,54.81,17.39,157.77,0,0,98.56
0.25,54.59,4.84,54.51,17.19,158.49,0,0,98.52
0.24,54.4,4.82,53.48,17.19,158.83,0,0,98.78
0.23,55.05,4.82,54.43,17.13,159.19,0,0,99.18
0.38,55.15,4.82,54.53,17.19,159.59,0,0,100.32
0.25,55.34,4.81,54.8,17.12,161.11,0,0,100.39
0.3,55.71,5.04,54.99,17.28,163.52,0,0,101.89
0.28,55.76,5.03,54.69,17.26,162.94,10.12,0,101.8
0.29,55.3,5.24,54.95,17.5,161.9,10.25,0,102.18
0.24,55.49,5.06,54.03,17.35,161.47,10.85,0,100.89
0.24,55.63,5.06,54.64,17.65,162.53,11.6,0,101.71
0.21,55.02,5.18,53.5,17.44,158.15,11.94,0,99.84
0.24,54.71,5.11,53.8,17.13,154.48,11.77,0,98.95
0.23,53.67,5.04,53.92,17.31,156.09,10.38,0,98.36
0.23,54.47,5.15,53.7,17.24,154.1,10.38,0,98.04
0.23,54.06,5.25,53.2,17.26,154.29,10.59,0,98.28
0.23,54.78,5.05,55.29,17.56,157.7,10.5,0,98.84
0.33,54.93,5.04,55.47,17.49,156.9,10.99,0,99.05
0.28,54.97,4.97,55.48,17.47,157.95,10.88,0,99.01
0.2,55.24,5.06,55.31,17.57,157.83,10.72,0,99.18
0.3,55.24,4.97,55.31,17.57,157.83,10.72,0,99.18
0.3,55.14,4.91,54.4,17.66,153.15,10.26,0,98.68
0.28,54.73,4.9,53.99,17.76,153.81,10.35,0,99.4
0.17,54.41,4.9,54.06,17.93,154.15,10.37,0,99.26
0.21,55.24,4.94,54.88,18.15,153.4,10.58,0,101.12
0.21,56.11,4.97,55.16,18.11,155.1,9.69,0,100.32
0.21,56.21,4.99,54.83,18.11,151.11,9.68,0,100.46
0.24,56.17,4.94,54.88,18.2,154.06,9.38,0,101.72
0.25,56.12,4.84,54.07,18.26,154.1,8.9,0,101.78
0.25,55.41,4.8,52.26,18.24,153.4,8.28,0,101.3
0.3,54.48,4.82,51.33,18.32,152.88,7.74,0,100.57
0.3,53.48,4.83,50.63,18.35,157.12,7.94,0,99.89
0.3,53.85,4.57,50.66,18.38,156.24,7.38,0,99.65
0.25,54.45,4.5,51.36,18.51,156.76,7.24,0,100.15
0.25,54.07,4.5,52.02,17.97,154.05,7.34,0,100.73
0.25,55.63,4.5,53.64,17.78,154.33,9.39,0,101.55
0.25,55.79,4.7,53.9,17.91,154.84,10.26,0,100.85
0.28,55.88,4.71,53.44,17.82,153.65,10.06,0,101.03
0.23,56.16,4.65,54.52,17.93,155.99,9.78,0,101.9
0.21,57.6,4.69,50.11,17.85,152.53,10.18,0,97.71
0.21,58.52,4.67,49.52,17.84,153.1,9.27,0,98.2
0.21,59.84,4.88,51.16,17.88,157.65,9.97,0,98.54
0.21,61.65,4.82,52.57,18.21,159.39,9.94,0,98.62
0.28,63.61,4.9,54.6,18.44,165.4,10.27,0,101.72
0.21,64.08,4.85,54.27,18.49,163.61,10.07,0,101.28
0.21,64.42,4.85,54.27,18.49,163.61,10.07,0,101.28
0.21,66.13,4.85,53.37,18.31,165.9,10.27,0,102.24
0.18,64.36,4.85,53.43,18.41,165.34,10.08,0,102.36
0.16,64.98,4.85,53.01,18.3,166.01,9.98,0,101.78
0.15,64.33,4.85,52.23,18.49,165.99,10.09,0,103.09
0.15,64.62,5.11,52.63,18.44,164.21,10.36,0,103.38
0.14,63.57,4.99,53.32,18.4,163.73,10.37,0,102.9
0.17,63.24,5.13,52.8,18.54,163.52,10.41,0,103.24
0.18,62.79,5.12,53.19,18.5,162.91,10.42,0,103.19
0.18,63.51,5,52.67,18.54,163.09,10.95,0,103.63
0.31,62.74,5.06,53.05,18.42,163.12,11.63,0,103
0.31,62.9,5.1,52.58,18.4,164.01,11.1,0,99.89
0.31,63.05,5.33,52.91,18.54,166.34,10.52,0,99.65
0.23,62.68,5.47,52.55,18.37,165.39,11.34,0,99.42
0.23,63.22,5.5,53.06,18.42,167.66,11.14,0,99.84
0.23,63.09,5.32,52.74,18.48,166.32,11.24,0,99.71
0.2,62.81,5.04,52.63,18.39,165.39,11.25,0,98.96
0.21,62.34,4.91,52.04,18.25,162.97,11.21,0,97.33
0.22,62.82,4.88,51.96,18.26,163.59,11.12,0,99.1
0.21,63.37,4.79,52.77,18.17,164.63,11.15,0,100.26
0.17,63.03,4.84,52.34,18.03,163.93,10.76,0,100.15
0.17,63.32,4.92,54.13,17.75,162.63,10.8,0,99.97
0.23,61.77,4.89,52.76,17.86,162.7,10.74,0,99.03
0.17,63.21,4.89,53.24,17.75,163.62,10.74,0,99
0.2,63.46,4.81,53,17.89,163.08,10.85,0,98.93
0.18,62.51,4.74,52.37,17.92,162.65,10.86,0,98.55
0.17,63.05,4.65,52.4,17.87,164.65,10.92,0,98.4
0.17,63.82,4.7,52.65,17.85,166.11,9.26,0,99.17
0.17,65.48,4.69,53.4,17.94,165.14,10.23,0,98.86
0.21,65.29,4.68,53,17.96,165.51,11.34,0,99
0.21,65.42,4.61,52.88,17.84,165,12.81,0,98.61
0.18,65.25,4.6,53.89,17.8,164.47,11.02,0,99.47
0.17,64.98,4.6,53.65,17.84,165.29,11.67,0,100.29
0.17,63.49,4.79,53.55,17.89,165.27,11.64,0,100.34
0.16,64,4.83,53.15,17.94,165.5,11.01,0,99.93
0.17,64.22,4.77,53.06,17.89,165.78,11.57,0,100.12
0.17,63.71,4.76,53.16,18.14,166.37,12.57,0,100.39
0.17,63.05,4.71,52.88,18.15,166.61,12.9,0,100.13
0.17,63.26,4.74,53.1,18.26,166.69,12.93,0,99.84
0.17,63.18,4.67,52.34,18.17,165.59,13.1,0,99.1
0.17,63.18,4.61,52.12,18.21,166.8,13.07,0,100.26
0.21,62.45,4.54,52.3,18.27,166.15,12.68,0,99.97
0.16,62.06,4.57,52.29,18.35,164.05,12.93,0,99.93
0.18,61.91,4.44,52.57,18.38,164.8,12.8,0,100.62
0.21,63.91,4.49,54.83,18.72,167,13.09,0,101.77
0.2,63.09,4.54,54.83,18.72,167,13.09,0,101.77
0.2,62.71,4.58,54.2,19.19,166.85,14.43,0,102.36
0.2,63.29,4.49,53.63,19.35,165.99,14.71,0,102.09
0.17,62.82,4.43,53.04,19.28,165.55,15.98,0,101.32
0.16,61.67,4.34,51.76,18.73,162.35,15.68,0,97.54
0.16,61.71,4.34,52.49,19.07,164.87,15.26,0,100.64
0.16,61.84,4.26,52.13,18.81,161.31,14.04,0,98.93
0.18,61.39,4.33,51.68,18.82,162.62,12.92,0,98.62
0.18,62.17,4.44,52.16,18.89,166.47,13.45,0,99.75
0.18,61.9,4.44,51.6,18.91,164.61,13.07,0,98.84
0.18,62.55,4.62,51.66,18.73,162.68,13.06,0,98.82
0.14,63.21,4.54,52.11,18.71,162.85,13.3,0,99.21
0.14,62.99,4.57,51.5,18.95,165.79,13.55,0,100.65
0.14,63.87,4.62,51.7,19.15,166.02,13.89,0,101.72
0.14,64.87,4.62,51.62,19.07,166.63,13.49,0,101.53
0.14,64.16,4.54,51.52,18.74,165.58,12.88,0,99.14
0.14,64.33,4.55,51.84,18.74,165.96,12.5,0,99.33
0.14,64.93,4.52,51.4,18.8,165.3,12.15,0,99.41
0.14,64.97,4.44,51.21,18.51,163.67,12.16,0,97.78
0.17,64.75,4.4,51.47,18.6,166.49,12.02,0,97.22
0.17,65.45,4.61,51.92,18.2,165.51,12.86,0,97.42
0.16,66.23,4.76,51.91,17.93,165.85,12.64,0,96.1
0.14,64.11,4.76,50.45,17.56,168.6,12.47,0,95.68
0.13,63.87,4.75,49.19,17.6,171.03,12.5,0,95.64
0.13,64.01,4.68,48.13,17.55,168.84,12.44,0,96.02
0.14,63.82,4.62,47.55,17.88,171.24,12.43,0,96.25
0.14,64.14,4.58,47.13,17.46,169.71,12.3,0,95.52
0.17,63.56,4.56,47.65,17.61,170,12.27,0,96.09
0.14,64.12,4.61,47.92,17.57,168.94,12.2,0,96.2
0.14,64.18,4.6,47.4,17.48,169.46,12.21,0,95.83
0.17,63.28,4.62,46.55,17.54,167.13,12.5,0,95.51
0.18,63.02,4.7,47.04,17.54,167.2,12.49,0,96.56
0.18,62.74,4.71,46.8,17.48,167.35,12.5,0,95.98
0.16,63.09,4.63,47.41,17.36,166.97,12.65,0,95.57
0.16,61.29,4.65,48.53,17.92,167.41,13.32,0,96.31
0.14,61.45,4.68,48.06,18.08,169.57,13.48,0,96.91
0.16,61.98,4.63,47.8,17.86,168.14,13,0,96.58
0.16,60.2,4.63,47.32,17.76,166.51,12.47,0,96.05
0.16,60.56,4.71,47.91,17.85,165.63,12.35,0,95.78
0.16,61.83,4.69,48.6,17.92,166.02,12.4,0,96.31
0.16,61.62,4.82,48.35,18.09,167.12,12.35,0,96.44
0.17,60.7,4.83,47.73,17.92,163.45,12.89,0,96.08
0.21,60.27,4.85,47.84,17.67,163.7,12.85,0,96.05
0.17,59.99,4.62,47.74,18.2,160.07,12.94,0,96.23
0.18,59.37,4.76,47.56,17.76,159.59,12.8,0,95.49
0.23,59.7,4.72,47.19,18.12,165.93,12.91,0,97.33
0.21,60.1,4.82,45.73,18.27,166.55,13.29,0,97.86
0.22,58.84,4.77,44.98,18.33,153.91,15.13,0,94.35
0.22,55.93,4.82,42.7,17.98,152.87,14.57,0,90.5
0.22,56.57,4.55,43.46,17.91,152.39,15.2,0,88.95
0.22,56.23,4.37,42.9,17.9,147.94,15.09,0,87.33
0.22,56.49,4.34,43.8,18.04,152.43,15.02,0,87.5
0.23,56.19,4.44,43.38,18.11,153.34,13.53,0,87.92
0.23,56.62,4.47,43.23,18.21,154.8,12.48,0,89.27
0.24,57.26,4.48,42.85,18.28,155.16,13.76,0,89.09
0.28,57.23,4.47,43.44,18.39,157.39,14.13,0,89.62
0.28,57.37,4.58,43.48,18.56,156.51,14.54,0,90
0.32,57.38,4.58,43.66,18.37,154.57,14.06,0,88.89
0.32,57.43,4.44,43.66,18.37,154.57,14.06,0,88.89
0.32,58.07,4.43,43.78,18.52,156.42,14.5,0,89.29
0.21,58.43,4.46,43.74,18.48,156.27,14.48,0,90.24
0.21,58.51,4.48,43.88,18.39,155.8,14.02,0,90.6
0.21,57.71,4.62,42.78,18.44,151.14,14.52,0,88.28
0.21,56.6,4.62,41.97,17.77,145.34,14.16,0,87.77
0.23,57.1,4.71,43.11,17.77,146.02,14.26,0,88.08
0.27,57.04,4.8,43.07,17.97,148.88,14.48,0,87.77
0.23,56.74,4.79,43.25,18.11,147.98,14.34,0,88.18
0.24,57.17,4.65,43.06,18.73,149.9,14.47,0,89.87
0.27,57.44,4.79,43.09,18.94,151.09,14.39,0,89.39
0.27,58.06,4.75,44.15,19.03,152.82,13.53,0,90.24
0.23,57.35,4.75,44.06,19.34,153.41,12.87,0,90.82
0.22,58.48,4.75,45,19.33,155.21,13.74,0,92.03
0.22,58.69,4.76,44.75,19.15,155.59,13.25,0,90.72
0.44,59.28,4.71,44.48,19.11,156.24,13.1,0,89.9
0.37,59.19,4.65,44.21,19.51,157.77,12.8,0,91.31
0.32,59.78,4.54,44.71,19.25,156.77,12.5,0,91.46
0.32,59.84,4.47,44.28,19.36,150.45,12.07,0,90.7
0.45,59.9,4.4,44.01,19.44,151.71,12.74,0,91.31
0.38,59.72,4.32,43.6,19.29,148.74,12.94,0,91.61
0.31,59.87,4.28,43.94,19.38,150.79,13.07,0,91.58
0.31,59.87,4.28,43.94,19.38,150.79,13.07,0,91.58
0.32,59.87,4.47,43.84,19.45,151.14,13.21,0,91.33
0.32,59.99,4.53,43.31,19.55,152.39,12.52,0,90.94
0.35,60.37,4.54,43.66,19.7,153.74,12.93,0,91.73
0.32,60.7,4.54,43.55,19.64,153.31,12.25,0,91.49
0.36,60.7,4.54,43.55,19.64,153.31,12.25,0,91.49
0.39,60.58,4.49,43.47,19.58,154.75,12.46,0,91.23
0.39,60.31,4.49,43.77,19.6,157.99,13.22,0,90.42
0.45,60.16,4.66,44.05,19.55,146.75,13.01,0,91.13
0.45,60.08,4.57,43.8,19.64,149.44,12.96,0,91.84
0.45,61.4,4.52,44.3,19.35,150.27,13.13,0,91.31
0.45,61.37,4.47,44.13,19.44,149.24,12.63,0,90.52
0.45,61.9,4.48,44.9,19.38,149,12.75,0,90.44
0.45,61.8,4.49,44.46,19.3,147.53,12.82,0,90.51
0.45,62.12,4.48,44.28,19.27,149.28,12.96,0,90.4
0.45,62.55,4.49,44.28,19.27,149.28,12.96,0,90.4
0.45,60.16,4.44,44.22,19.27,153.73,13.05,0,92.36
0.45,60.87,4.47,44.31,20.05,150.48,12.99,0,93.49
0.3,62.18,4.5,44.41,19.65,149.59,12.96,0,93.85
0.3,62.52,4.44,45.04,19.72,150.08,13.13,0,94.57
0.35,62.61,4.51,45.7,19.6,151.55,13.1,0,94.76
0.38,63.05,4.53,46.44,19.61,153.05,12.86,0,95.78
0.39,64.28,4.47,47.12,19.63,154.09,13.2,0,96.39
0.29,64.75,4.5,47.24,19.47,149.97,13.27,0,96.36
0.3,64.63,4.46,47.44,19.39,148.92,13.21,0,96.32
0.4,64.31,4.46,46.96,19.25,148.34,13.29,0,95.96
0.31,64.35,4.38,47.19,19.06,149.76,13.28,0,96.13
0.29,63.91,4.45,47.21,19.07,149.85,13.13,0,95.95
0.29,64.49,4.4,46.94,19.13,149.27,12.99,0,98.84
0.31,65.19,4.39,47.52,19.47,149.07,13,0,101.11
0.31,65.48,4.39,47.2,19.41,149.77,13.05,0,100
0.36,65.43,4.44,47.57,19.33,152,13.03,0,101.63
0.36,66,4.44,48.38,19.32,154.58,13.08,0,102.63
0.36,65.95,4.43,48.28,19.48,155.73,13.02,0,102.77
0.37,65.78,4.4,47.72,19.55,155.45,13,0,102.63
0.57,65.57,4.4,47.81,19.51,155.49,12.64,0,102.73
0.6,64.75,4.37,47.24,19.42,155.89,13.2,0,102.58
0.58,65.21,4.37,46.23,19.43,156.21,13.08,0,102.93
0.55,65.37,4.33,46.59,19.48,158.51,13.04,0,102.99
0.73,65.73,4.32,47.83,19.52,161.32,13.23,0,103.66
0.62,65.44,4.3,47.83,19.52,161.32,13.23,0,103.66
0.62,65.58,4.27,47.71,19.62,160.09,13.31,0,104.56
0.76,65.67,4.42,47.89,19.7,160.2,13.04,0,104.53
0.69,66.46,4.48,49.04,19.7,153.6,13.03,0,106.52
0.67,66.59,4.62,48.65,19.74,158.85,13.16,0,107.72
0.67,66.88,4.67,48.32,19.86,157.8,13.2,0,108.7
0.78,66.72,4.68,47.84,19.68,158.81,13.17,0,109.35
0.92,67.79,4.59,47.96,20.02,159.61,13.25,0,110.22
0.91,67.71,4.68,47.74,18.79,158.43,13.28,0,109.8
0.71,67.08,4.58,47.63,18.44,158.76,13.23,0,110.21
0.68,66.75,4.5,47.28,18.35,157.8,13.25,0,109.73
0.83,67.09,4.46,47.3,18.19,157.21,13.21,0,110.55
0.96,67.01,4.46,46.92,18.24,156.38,13.38,0,109.72
0.88,66.99,4.52,47.12,18.37,155.79,13.31,0,110.28
0.86,67.09,4.51,47.43,18.57,157.56,13.25,0,110.54
0.89,67.5,4.47,47.87,18.49,158.39,13.72,0,111.02
0.83,67.92,4.58,47.95,17.99,159.12,13.88,0,110.77
0.9,68.1,4.58,48.26,17.92,162.12,14.05,0,112.42
0.81,67.63,4.62,48.54,18.04,162.04,14.42,0,112.7
0.86,68.2,4.63,49.13,18.19,161.75,14.84,0,113
0.83,68.14,4.65,48.83,17.73,162.55,15.49,0,114.01
0.89,68.14,4.67,49.06,17.54,164.61,15.06,0,113.49
0.89,68.04,4.65,48.6,17.16,164.2,15.27,0,113
0.8,67.96,4.65,48.13,17.33,162.72,15.58,0,112.95
1,69.31,4.61,48.31,17.35,164.06,15.48,0,111.79
1.18,68.67,4.58,48.73,17.32,163.68,15.83,0,112.38
1.06,68.55,4.58,48.55,17.47,162.43,15.42,0,112.8
1.06,69.85,4.65,48.42,17.6,163.69,15.33,0,113.4
1.31,69.75,4.74,48.78,17.93,162.44,15.17,0,113.52
1.52,69.61,4.65,49.4,17.97,162.07,15.6,0,112.9
1.4,69.48,4.74,49.2,17.85,161.66,15.69,0,112.91
1.51,69.48,4.81,48.87,17.76,161.51,15.64,0,113.45
1.58,69.85,4.82,49.17,17.6,161.4,15.55,0,113.19
1.55,69.5,4.83,49.24,17.6,171.77,15.72,0,112.59
1.61,70.36,4.84,49.29,17.6,170.37,15.88,0,113.6
1.56,70.21,4.76,49.04,17.87,171.27,16.26,0,113.05
1.52,70.82,4.65,49.91,17.98,170.35,16.07,0,113.42
1.34,70.69,4.61,49.93,17.87,169.96,15.99,0,113.78
1.46,70.7,4.59,49.95,17.97,168.95,16.05,0,113.06
1.46,70.7,4.59,49.95,17.97,168.95,16.05,0,113.06
1.46,70.7,4.59,50.31,18.23,170.12,16.02,0,114.74
1.56,69.13,4.61,49.8,18.3,172.21,16.07,0,115.21
1.66,68.1,4.61,48.8,18.29,171.94,15.98,0,113.91
1.68,68.54,4.51,48.85,18.34,172.95,16.04,0,109.98
1.66,68.3,4.56,48.78,18.3,172.09,16.09,0,109.62
1.7,69.98,4.56,49.88,18.69,173.03,17.12,0,112.39
1.56,69.48,4.58,49.87,18.56,172.54,16.51,0,113.09
1.61,69.71,4.68,50.27,18.61,170.48,16.3,0,111.15
1.65,68.77,4.71,50.24,18.81,171.06,16.31,0,110.19
1.64,68.5,4.71,49.72,18.76,172.54,15.81,0,110.84
1.64,68.5,4.71,49.72,18.68,172.07,16.12,0,110.55
1.63,69.17,4.77,49.51,18.71,174.58,16.15,0,110.47
1.43,68.73,4.81,48.52,18.7,173.74,15.91,0,110.61
1.48,68.81,4.83,47.69,18.66,177.2,15.85,0,111.2
1.45,69.44,5.07,47.91,19.09,178.51,15.77,0,112.25
1.44,69.88,4.97,48.15,18.33,179.52,15.12,0,112.63
