"D.2TP.P.","BATS.P.","ID.GUD.P.","X.IMBBY.P.","U.VGR.P.","U.STZ.P.","U.TPB.P.","U.RLX.P.","U.PM.P."
1.43,69.75,5.06,48.66,18.22,177.77,15.09,0,111.93
1.4,69.84,5.04,48.74,18.43,177.57,16.07,0,110.83
1.46,70.13,5.04,48.42,18.38,178.29,16.1,0,111.19
1.45,71.03,5.25,48.7,18.36,178.57,15.4,0,111.71
1.44,70.85,5.23,48.05,18.44,180.28,15.45,0,112.36
1.31,72.31,5.01,48.74,18.38,182.21,15.51,0,113.52
1.29,71.98,4.98,48.33,18.11,180.68,15.41,0,113.75
1.15,70.74,5.11,47.92,17.96,180.84,15.46,0,113.58
1.18,70.94,5.43,48.69,18.1,182.94,15.6,0,114.74
1.22,71.81,5.27,49.02,18.37,184.14,16.94,0,116.22
1.22,71.19,5.19,48.1,18.5,180.86,16.77,0,116.46
1.22,71.35,5.23,47.97,18.73,178.83,16.62,0,117.43
1.15,72.18,5.23,48.21,18.81,180.14,16.18,0,119.48
1.01,73.44,5.27,48.01,18.86,180.93,16.32,0,119.83
0.95,73.44,5.21,48.01,18.86,180.93,16.32,0,119.83
0.95,72.25,5.22,47.17,18.74,180.51,16.34,0,119.95
0.96,72.64,5.25,47.59,18.78,182.75,16.75,0,119.8
0.97,72.35,5.25,48.04,18.94,184.69,16.65,0,120.9
0.84,73.27,5.29,47.89,19.14,184.77,16.62,0,121.79
0.84,73.29,5.28,47.8,19.12,184.51,16.36,0,121.97
0.97,74.12,5.28,48.01,18.97,185.83,16.77,0,122
0.93,73.33,5.36,47.85,19.01,184.54,16.82,0,122.3
0.88,72.33,5.32,46.63,19.3,183.45,16.76,0,121.11
0.99,72.48,5.36,46.02,19.36,181,16.61,0,120.12
0.88,71.74,5.52,46.31,19.13,179.14,15.36,0,119.17
1,71.11,5.51,46.18,19.16,179.55,15.71,0,118.69
0.92,71.53,5.61,46.52,19.21,179.9,15.25,0,119.75
0.96,71.45,5.68,46.22,19.19,180.3,15.37,0,120.51
0.99,72.23,5.61,46.19,18.64,180.88,15.54,0,121.84
0.86,73.12,5.67,46.46,18.88,183.28,15.53,0,122.9
0.81,73.07,5.64,45.91,18.73,184.55,15.24,0,122.11
0.71,72.94,5.57,45.73,18.61,184.5,16.28,0,120.19
0.67,72.04,5.56,46.11,18.63,184.11,15.98,0,119.71
0.77,72,5.56,46.27,18.81,184.57,16.3,0,119.56
0.86,71.94,5.56,46.54,18.87,182.47,15.52,0,119.51
0.81,71.3,5.56,46.51,18.61,182.28,15.52,0,118.14
0.74,70.28,5.56,46.55,18.8,183.68,15.79,0,118.93
0.74,68.76,5.56,46.17,18.43,192.79,15.53,0,117.08
0.74,68.75,5.56,45.74,18.42,193.73,15.34,0,117.45
0.77,68.77,5.77,45.49,18.29,191.73,15.18,0,116.9
0.77,68,5.57,45.49,18.29,191.73,15.18,0,116.9
0.73,69.05,5.38,45,18.13,193.92,14.96,0,118.54
0.73,68.09,5.53,45.12,17.86,193.76,14.77,0,118.35
0.74,68.55,5.42,45.32,18.04,193.52,14.95,0,117.9
0.71,68.43,5.43,45.05,17.92,193.82,14.9,0,118.16
0.68,68.04,5.38,44.52,17.99,193.89,15.09,0,117.21
0.68,69.33,5.55,45.38,18.21,197.1,15.18,0,118.23
0.69,69.48,5.6,45.93,18.04,196.25,14.98,0,117.51
0.69,69.31,5.41,46.62,18.18,198.32,15.15,0,119.13
0.69,69.68,5.38,45.59,18.18,196.6,15.04,0,119
0.95,68.79,5.45,45.25,18.05,197.18,15.11,0,119.64
0.95,69.46,5.41,45.5,18.25,198.3,15.5,0,121.62
0.95,71.26,5.41,46.16,18.28,198.12,15.39,0,119.86
1.26,72.04,5.37,46.17,18.41,198.52,15.06,0,119.58
1.19,71.1,5.46,45.83,18.31,196,14.52,0,118.89
1.55,69.39,5.44,45.56,18.36,193.67,14.78,0,117.82
1.38,69.92,5.4,45.58,18.33,193.38,15.56,0,117.65
1.42,69.9,5.54,45.7,18.43,194.46,15.65,0,118.19
1.48,65.15,5.67,44.36,17.57,194.59,15.64,0,118.51
1.48,61.91,5.4,41.9,17.39,193.35,15.42,0,116.71
1.38,63.47,5.13,43.02,17.41,194.75,15.32,0,115.88
1.38,63.76,5,42.67,17.23,193.51,15.01,0,114.46
1.28,65.73,5.05,43.87,17.18,193.04,14.72,0,114.49
1.25,66.42,5.09,43.81,17.91,193.82,15.1,0,114.76
1.25,66.4,4.93,43.25,18.17,194.97,15.25,0,115.86
1.25,65.54,4.88,42.95,18.58,194.68,15.06,0,114.67
1.07,65.37,4.71,43.19,17.97,195.39,15.03,0,115.41
1.18,64.4,4.75,42.3,18.26,194.69,15.82,0,114.22
1.13,63.78,4.68,41.84,18.24,195.65,16.96,0,114.88
1.16,63.64,4.74,41.5,18.44,197.19,15.95,0,114.76
1.16,64.46,4.78,42.01,18.55,198.7,15.65,0,116.82
1.16,64.74,5.04,42.21,18.56,198.57,16.52,0,117.73
1.2,63.47,5.04,42.51,18.43,197.08,16.36,0,115.93
1.23,62.42,5.25,41.87,18.25,197.88,16.7,0,115.33
1.16,62.74,5.13,42.05,18.47,198.12,16.82,0,116.25
1.11,62.69,5.01,42.1,18.35,196.74,16.9,0,116.23
1.21,62.11,5.05,41.57,18.26,196.73,17,0,115.46
1.27,63.57,5.06,41.75,18.28,196.88,17.03,0,114.52
1.25,63.51,5.11,42.14,18.35,198.32,16.99,0,114.8
1.18,63.51,5.09,42.1,18.34,197.88,16.92,0,115.54
1.11,62.42,5.08,41.74,18.37,198.4,16.98,0,116.55
1.12,62.44,4.89,41.75,18.43,199.54,17.23,0,116.43
1.14,63.45,4.91,41.85,18.66,200.1,17.2,0,116.93
1.23,63.25,4.91,42.65,18.82,200.23,16.97,0,117.83
1.2,63.16,4.76,42.65,18.82,200.23,16.97,0,117.83
1.2,62.74,4.69,42.17,18.68,201.09,16.34,0,117.67
1.27,63.2,4.74,42.98,18.25,202.52,16.38,0,118.62
1.15,64.41,4.77,43.59,18.52,202.21,16.4,0,118.92
1.16,64.58,4.7,44.22,18.64,202.39,16.71,0,117.06
1.11,64.33,4.69,44.29,18.8,203.7,17.09,0,117.93
1.18,63.03,4.66,44.54,18.78,204.62,17.05,0,117.05
1.11,63.22,4.66,44.26,18.82,204.45,16.83,0,116.86
1.11,61.63,4.92,44.28,18.94,204.38,17.05,0,116.73
1.14,62.27,4.83,45.83,18.7,203.4,16.72,0,115.79
1.29,61.79,4.81,44.57,19.01,203.9,17.43,0,116.08
1.18,61.06,4.77,44.85,18.57,202.33,17.6,0,115.36
1.15,60.5,4.9,44.6,18.42,201.77,17.43,0,113.43
1.2,59.96,4.9,44.37,18.22,201.02,17.17,0,112.92
1.37,60.56,4.83,44.2,18.25,201.81,17.32,0,112.51
1.61,60.22,4.77,44.12,18.34,200.61,17.16,0,113.25
1.8,61.08,4.66,44.87,18.66,200.45,17.17,0,112.21
1.83,61.79,4.66,45.05,18.87,199.8,17.05,0,111.61
1.57,61.08,4.66,43.25,18.95,199.3,16.99,0,111.8
1.44,61.37,4.67,43.27,18.57,199.45,17,0,111.01
1.5,61.96,4.6,42.77,18.7,199.35,17.17,0,110.87
1.5,61.79,4.66,42.51,18.73,199.08,17.22,0,110.19
1.44,62.21,4.72,42.28,18.68,201.18,17.4,0,111.42
1.43,61.8,4.68,41.82,18.68,209.25,17.04,0,111.54
1.38,62.8,4.72,41.72,18.54,210.11,17.27,0,111.27
1.41,63.3,4.82,42.02,18.59,208.19,17.42,0,113.37
1.41,64.21,4.7,42.64,18.8,207.96,17.89,0,115.17
1.38,64.58,4.69,42.47,18.84,207.74,18.14,0,114.26
1.34,64.12,4.66,42.67,18.9,207.4,18.65,0,114.53
1.27,63.81,4.56,42.49,18.93,208.56,18.63,0,113.99
1.34,63.68,4.58,42.13,18.78,210.45,18.61,0,113.52
1.27,63.9,4.58,42.25,18.75,213.64,18.79,0,112.65
1.31,63.97,4.56,42.18,18.79,211.79,18.64,0,112.51
1.23,63.41,4.48,42.13,18.81,211.98,18.48,0,108.15
1.18,63.7,4.44,42,18.78,211.25,18.14,0,109.52
1.11,63.93,4.46,42.23,18.67,211.71,17.97,0,109.36
1.15,63.38,4.4,41.76,18.59,212.65,18.13,0,108.57
1.19,63.62,4.47,42.06,18.74,212.48,17.78,0,107
1.19,65.23,4.59,41.99,18.81,211.74,17.9,0,106.93
1.12,65.96,4.75,42.26,18.93,211.9,17.95,0,105.94
1.07,64.58,4.8,41.98,18.7,213,17.55,0,104.7
1.07,63.98,4.97,41.34,18.85,219.09,17.5,0,104.64
1,64.24,5.09,41.14,18.92,216,17.41,0,103.75
0.98,65.28,5.11,40.65,18.77,214.32,17.26,0,102.8
0.95,65.61,5.23,40.32,18.77,215.91,17.11,0,102.66
1.01,65.14,5.25,40.81,18.59,215.8,16.93,0,102.14
1.25,64.78,5.45,41.43,19.02,215.48,16.42,0,103.02
1.25,65.1,5.43,42.22,18.95,217.63,16.01,0,103.09
1.22,65.02,5.48,42.11,19.32,218.13,15.6,0,102.46
1.27,64.49,5.4,42.8,19.76,218.67,15.61,0,103.02
0.99,64.85,5.61,41.87,19.66,220.76,15.88,0,103.51
1.01,64.36,5.39,41.32,19.69,218.09,16.3,0,102.72
1,64.24,5.46,41.16,19.71,217.16,16.17,0,102.05
0.95,65.08,5.75,40.87,19.99,217.34,16.89,0,102.66
0.91,65.46,5.54,40.94,19.95,216.29,16.73,0,102.64
0.9,65.7,5.71,40.6,19.91,217.58,17.02,0,102.54
0.92,66.87,5.6,42.06,20.2,219.76,17.37,0,103.36
0.99,66.05,5.54,42.21,20.18,220.45,17.5,0,103.54
0.97,66.32,5.54,42.21,20.18,220.45,17.5,0,103.54
0.97,65.73,5.64,42.4,20.34,221.88,17.38,0,103.18
0.97,65.25,5.64,42.35,20.36,220.12,17.26,0,102.72
0.97,65.27,5.67,41.75,20.34,220.02,17.36,0,102.88
0.88,63.07,5.69,40.83,20.31,214.36,17.53,0,102.68
0.86,61.59,5.43,41.61,20.4,217.59,17.44,0,102.75
0.86,62.82,5.43,41.66,20.57,218.6,17.62,0,103.71
0.85,62.99,5.62,41.09,20.83,216.34,17.24,0,104.61
0.81,63.71,5.7,40.71,20.78,216.82,17.23,0,105.46
0.81,66.03,5.7,41.25,20.88,216.93,17.54,0,107.6
0.85,65.12,5.68,41.39,20.83,216.85,17.54,0,106.7
0.88,64.88,5.72,41.25,20.79,217.98,17.44,0,106.59
0.99,65.71,5.67,40.96,20.75,219.37,17.47,0,106.04
0.93,66.25,5.57,41.43,20.67,220.01,17.66,0,107.3
0.81,66.05,5.56,41.19,20.72,218.58,17.92,0,108.24
0.95,64.7,5.56,40.99,20.58,222.75,17.77,0,107.68
1.01,65.23,5.58,41.2,20.27,224.44,18.09,0,109.68
1.04,65.15,5.75,41.51,20.45,222.42,18.15,0,107.97
1.04,65.61,5.75,41.9,20.15,223.23,17.92,0,108.12
1.11,64.64,5.61,42.03,20.35,223.51,17.99,0,104.37
1.14,65.86,5.75,41.73,20.24,224.6,17.91,0,104.78
1.01,65.29,5.75,41.76,20.26,223.81,18.15,0,104.65
1.01,65.29,5.75,41.76,20.26,223.81,18.15,0,104.65
1.01,65.29,5.75,41.95,20.46,225.51,18.42,0,104.11
1,65.75,5.78,41.75,20.34,225.98,19.42,0,104.71
1.08,65.09,5.8,42.16,20.33,227.98,20.7,0,104.81
1.14,65.84,5.95,42.67,20.3,228.57,21.13,0,105.65
1.14,65.84,5.95,42.67,20.3,228.57,21.13,0,105.65
1.29,64.89,5.79,43.06,20.37,226.56,20.8,0,104.39
1.27,64.84,5.78,42.58,20.03,227.5,20.66,0,104.26
1.16,64.55,5.96,42.56,19.69,225.79,20.47,0,103.47
1.04,65.28,6.02,43.33,19.87,219.88,21.2,0,104.3
0.96,64.69,6.02,43.54,19.87,216.84,21.83,0,104.14
0.9,65.14,5.79,43.19,19.63,222.08,21.16,0,104.89
0.93,65.21,5.89,42.73,19.37,219.36,21.42,0,105.63
0.89,66.33,5.88,43.44,19.56,219.05,21.64,0,104.86
0.93,65.25,5.9,43.91,19.55,217.52,22.38,0,104.5
0.89,65.87,5.82,43.91,19.55,217.52,22.38,0,104.5
0.89,66.11,5.96,43.68,19.36,217.76,21.36,0,104.87
0.84,65.71,5.88,43.17,19.54,219.22,21.27,0,105.79
0.95,65.02,5.94,42.47,19.46,217.29,20.82,0,105.07
0.89,66.49,5.97,42.34,19.7,218.28,21.11,0,108.92
0.89,66.23,6.04,42.15,19.67,219.32,21.38,0,108.81
0.99,66.99,6.05,42.25,19.71,220.78,21.93,0,109.53
1.05,65.36,6.05,41.98,19.72,222.03,21.79,0,110.6
1.13,63.97,6,41.11,19.43,221.31,21.61,0,107.49
1.06,64.87,5.98,42.06,19.26,223.64,21.45,0,110.19
1.05,64.03,5.84,41.7,19.19,220.74,22.04,0,108.61
1.08,63.46,5.68,41.81,19.24,220.05,21.98,0,107.94
1.13,63.3,5.75,41.97,19.32,219.47,22,0,107.23
1.11,63.36,5.81,41.98,19.16,220.69,22.08,0,105.17
1.04,62.52,5.79,41,18.99,215.89,22,0,103.44
1.04,60.85,5.8,38.94,18.41,211,21.44,0,98.69
1.01,59.36,5.86,39.37,18.58,216.29,21.12,0,100.33
0.91,61.01,5.91,38.76,18.58,214.15,21.15,0,98.88
0.92,59.07,5.9,37.56,18.06,208.73,20.5,0,100.39
0.89,57.96,5.77,37.19,18.05,210.26,20.83,0,99.94
0.89,58.65,5.65,37.39,18.56,213.01,20.85,0,102.4
0.89,57.55,5.68,36.78,18.41,213.47,21.56,0,103.05
0.91,58.32,5.68,37.41,18.41,214,21.13,0,102.54
0.95,58.1,5.72,37.85,18.41,216.81,21.23,0,103.69
0.93,58.47,5.72,37.94,18.4,219.45,21.41,0,104.31
0.88,58.32,5.82,37.94,18.4,219.45,21.41,0,104.31
0.88,59.01,5.75,37.87,18.25,217.33,21.05,0,102.85
0.9,58.45,5.69,37.62,18.25,213.79,20.76,0,103.72
0.86,57.2,5.66,36.92,18.29,213.11,20.38,0,102.98
0.97,58.58,5.78,37.3,18.51,217.46,21.52,0,106.11
0.91,58.64,5.61,37.48,18.65,218.04,21.84,0,106.68
0.91,57.76,5.66,36.65,18.41,218.05,21.43,0,104.08
0.91,56.42,5.66,36.4,18.18,215.48,20.9,0,103.55
0.89,56.11,5.67,36.3,17.99,215.95,20.44,0,104.68
0.78,55.43,5.68,36.46,18,219.84,20.57,0,106.81
0.78,55.44,5.62,36.49,18.26,219.52,20.71,0,107.7
0.76,55.1,5.66,36.17,18.89,222.56,20.88,0,107.98
0.8,55.17,5.49,36.36,18.81,223.91,21.21,0,106.89
0.81,55.97,5.68,36.23,19.05,227.7,21.42,0,109
0.76,56.13,5.56,36.38,19.21,230.34,21.67,0,108.3
0.9,55.89,5.48,36.01,18.98,230.15,21.57,0,107.14
0.83,54.72,5.25,35.39,18.86,227.94,21.49,0,107.24
0.76,55.61,5.15,35.76,18.92,227.39,21.52,0,105.61
0.66,55.43,5.3,34.97,18.64,226.89,21.55,0,104.99
0.7,54.95,5.34,34.6,18.58,228.54,20.35,0,103.46
0.74,52.93,5.32,34.24,18.16,226.35,20.76,0,101.74
0.76,52.38,5.29,33.56,18.27,227.61,21.08,0,100.27
0.8,50.89,5.32,33.17,18.19,226.07,20.54,0,97.75
0.81,51.03,5.17,33.24,18.31,224.23,20.36,0,97.67
0.74,51.51,5.04,33.53,18.05,220.92,20.21,0,95.63
0.73,51.23,4.99,33.69,18.17,220.35,19.93,0,96.35
0.71,51.83,5.02,33.39,18.31,218.47,19.68,0,96.73
0.74,53.64,5.03,34.58,18.51,220.49,19.49,0,99.79
0.73,54.26,5.15,34.65,18.49,227.92,19.44,0,99.4
0.73,54.26,5.15,34.65,18.49,227.92,19.44,0,99.4
0.73,54.26,5.21,34.38,18.2,228.16,19.26,0,97.54
0.7,54.51,5.23,34.87,18.36,225.09,19.7,0,99.85
0.78,55.33,5.11,36.06,18.64,226.45,19.98,0,100.92
0.74,56.3,5.19,35.75,18.59,229.93,20.14,0,101.7
0.7,56.62,5.25,36.43,18.52,227.19,20.09,0,101.02
0.73,56.59,5.27,36.44,18.42,226.21,20.48,0,100.7
0.71,55.96,5.5,36.42,18.44,226.07,21.37,0,101.1
0.7,55.43,5.5,35.83,18.54,225.45,21.08,0,100.72
0.74,54.82,5.44,35.68,18.39,224.22,20.98,0,100.25
0.7,54.1,5.4,35.66,18.54,223.89,21.53,0,101.85
0.67,53.1,5.29,35.54,18.77,227.02,21.8,0,102.95
0.76,52.09,5.31,35.06,18.8,231.4,21.69,0,103.3
0.76,50.69,5.46,34.98,18.2,232.16,21.24,0,101.44
0.81,47.94,5.47,33.74,18.01,229.62,21.15,0,85.64
0.76,48.6,5.38,34.14,17.63,227.58,20.68,0,84.27
0.76,49.31,5.26,33.84,17.31,228.26,20.86,0,83.67
0.82,49.18,5.15,33.61,17.67,226.23,20.8,0,82.49
0.82,50.57,5.03,34.72,17.85,226.87,20.73,0,81.81
0.78,52.09,4.83,36,17.81,228.73,21.12,0,81.49
0.81,52.94,4.81,36.63,17.79,234.22,21,0,82.56
0.92,52.53,4.92,36.37,17.69,233.13,21.22,0,82
0.92,51.23,4.92,36.22,17.78,229.68,21.53,0,81.2
0.74,51.48,4.97,36.07,17.73,226.8,21.71,0,80.1
0.68,51.2,4.9,35.8,17.79,224.07,21.96,0,80.44
0.68,51.07,4.77,35.94,17.95,221.28,21.88,0,81.87
0.81,51.07,4.97,35.96,17.92,223.8,22.07,0,81.51
0.73,50.03,4.81,36.29,17.88,221.46,21.61,0,80.81
0.74,51.34,4.97,38.56,17.43,221.97,21.45,0,81.99
0.78,51.42,4.97,38.46,17.4,220.39,22.78,0,83
1.03,50.7,4.98,38.05,17.51,220.23,23.04,0,81.2
0.84,50.06,4.93,38.2,17.41,221.82,23,0,80.86
0.83,50.26,4.84,37.8,17.5,221.77,23.33,0,79.93
0.83,50.44,4.9,37.52,17.42,221.46,23.74,0,80.89
0.82,50.11,4.84,37.95,17.08,222.15,24.37,0,81.04
0.82,49.91,4.77,37.95,17.29,220.3,23.77,0,80.75
0.82,49.45,4.73,38.16,17.32,219.34,23.91,0,80.15
0.8,49.42,4.74,38.06,17.15,215.92,24.7,0,79.87
0.76,49.44,4.83,38.37,17.37,216.58,24.95,0,81.7
0.82,49.91,4.88,37.7,17.47,216.96,25.96,0,81.61
0.76,50.82,4.89,37.14,17.46,216.81,26.12,0,80.34
0.74,50.82,4.93,37.14,17.46,216.81,26.12,0,80.34
0.74,49.77,4.93,36.08,17.41,219.74,25.88,0,79.27
0.82,50.03,4.85,35.95,17.48,224.84,26.89,0,80.32
0.81,50.82,4.86,36.19,17.6,223.08,27.08,0,79.54
0.76,50.25,4.86,36.38,17.59,222.75,27.23,0,78.18
0.76,50.05,4.86,36.17,17.79,225.83,28.16,0,78.41
0.74,49.12,4.91,36.06,17.72,225.27,27.99,0,77.51
0.73,48.64,4.84,35.53,17.64,224.36,28.62,0,76.85
0.71,47.88,4.98,34.92,17.74,223.53,28.85,0,77.39
0.71,48.02,4.99,34.66,17.92,227.28,28.85,0,79.42
0.7,49.21,4.99,34.96,17.94,226.09,29.01,0,80.47
0.7,48.34,4.99,34.57,18.08,229.71,30.16,0,80.32
0.69,48.81,4.99,34.77,18.07,229.23,30.1,0,80.1
0.69,49.05,4.99,34.74,18.14,232.18,31.23,0,80.85
0.74,48.52,4.99,35.12,18.06,233.02,32.08,0,81.88
0.71,47.74,4.99,34.49,17.47,232.26,31.15,0,80.03
0.61,48.48,4.99,34.76,17.51,231.85,30.79,0,80.84
0.62,49.64,4.9,35.74,17.44,231.5,31.68,0,81.75
0.57,50.42,4.8,35.32,17.34,231.36,31.94,0,79.47
0.5,51.37,4.72,36.23,17.3,231.52,31.7,0,80.19
0.51,49.95,5.09,35.94,17.24,228.04,31.18,0,79.97
0.54,49.33,5,35.93,17.22,229.65,31.05,0,79.77
0.51,49.68,4.88,35.73,17.05,229.41,31.68,0,79.9
0.55,50.92,4.75,36.82,17.2,232.33,31.95,0,81.66
0.52,50.31,4.77,37.14,17.31,218.87,31.9,0,80.74
0.55,50.17,4.9,37.32,17.2,215.91,32.3,0,80.24
0.55,51.36,4.9,37.77,17.3,214.99,32.48,0,81.12
0.51,51.64,4.93,37.77,17.3,214.99,32.48,0,81.12
0.66,51.23,4.9,38.63,17.39,215.74,32.75,0,82.03
0.63,51.27,4.86,38.58,17.47,214.98,33.21,0,82.26
0.74,52.01,4.97,38.83,17.4,218.3,32.95,0,82.18
0.69,51.64,5.04,38.62,17.48,217.98,32.93,0,82.67
0.74,50.96,5.01,38.2,17.29,217.35,33.26,0,82.84
0.74,51.58,4.93,38.41,17.29,217.52,32.87,0,83.2
0.67,51.56,5,37.99,17.28,215.5,32.64,0,82.68
0.6,50.86,4.86,37.84,17.03,213.45,31.86,0,81.92
0.57,50.18,4.9,37,16.53,213.85,31.64,0,82.33
0.52,50.41,4.97,37.33,16.41,214.36,32.61,0,82.15
0.52,50.73,4.92,37.8,16.72,215.82,32.75,0,80.9
0.53,52.01,5.04,38.34,16.84,215.96,33.39,0,84.31
0.47,51.51,5.07,37.56,16.72,215,33.24,0,83.22
0.44,51.88,5.07,37.57,16.8,214.6,33.19,0,83.56
0.42,52.18,5.01,37.51,16.56,215.15,33.37,0,83.81
0.43,54.86,5.01,37.38,16.56,214.63,33,0,84.46
0.45,54.05,5.15,37.1,16.45,213.95,32.87,0,85.47
0.45,54.54,5.28,37.65,16.48,209.67,33.02,0,86.62
0.42,55.18,5.34,38.31,16.73,210.23,33.46,0,86.3
0.45,54.92,5.32,37.97,16.58,208.46,33.99,0,85.54
0.45,54.51,5.3,38.05,16.77,207.94,34.22,0,86
0.43,55.03,5.32,38.24,16.8,214.01,34,0,86.84
0.43,54.8,5.28,37.81,16.74,212.52,34.12,0,86.15
0.43,54.78,5.4,37.96,15.65,217.13,34.1,0,85.53
0.39,55.32,5.47,38.27,15.14,214.41,28.87,0,83.75
0.39,55.09,5.4,38.08,15.42,214.78,33.12,0,84.4
0.39,54.57,5.47,37.6,15.07,213.3,33.37,0,82.56
0.35,54.5,5.32,37.81,15.04,213.83,33.93,0,81.86
0.43,54.8,5.22,37.85,15.06,221.81,33.19,0,82.31
0.46,53.69,5.1,37.58,15.03,208.27,31.88,0,83.41
0.44,54.61,5.08,37.92,15.24,202.48,31.8,0,84.68
0.42,55.21,5.08,38.04,15.15,203.93,32.05,0,85.05
0.46,55.46,5.2,38.23,14.99,202.9,32.05,0,84.58
0.39,54.15,5.29,37.64,14.97,200.49,31.98,0,83.53
0.39,53.68,5.29,37.58,14.7,203.36,32.61,0,82.43
0.39,53.16,5.36,36.39,14.56,204.88,33.04,0,82.32
0.37,51.34,5.25,35.98,14.35,207.6,33.67,0,79.69
0.39,51.34,5.22,36.17,14.24,210.26,33.4,0,80.26
0.39,51.12,5.26,35.82,14.16,207.17,33.55,0,79.5
0.35,50.4,5.21,35.9,14.1,209.25,33.34,0,79.06
0.35,49.63,5.18,35.67,14.22,208.76,33.8,0,78.57
0.35,48.88,5.18,35.54,14.09,208.2,33.66,0,77.89
0.31,48.98,5.1,35.54,14.09,208.2,33.66,0,77.89
0.31,49.16,5.18,35.01,14.35,211.11,33.73,0,77.64
0.32,48.76,5.02,34.76,14.29,209.75,34.6,0,78.79
0.28,48.37,5.05,34.87,14.38,208.62,37.26,0,78.62
0.3,48.4,5.21,34.8,14.23,211.72,39.8,0,78.6
0.27,47.99,5.21,35.05,14.22,212.06,42.21,0,78.38
0.22,46.69,5.21,33.9,14.2,215.26,43.47,0,77.45
0.21,49.43,5.25,35,14.52,215.99,40.76,0,80.05
0.21,48.49,5.28,34.36,14.45,214.83,38.85,0,79.78
0.18,48.07,5.38,34.16,14.37,212.05,39.64,0,79.33
0.23,48.19,5.18,34.4,13.92,212.33,40.02,0,80.3
0.23,47.29,5.13,33.9,13.56,213.52,41.16,0,80.33
0.2,46.76,5.29,33.69,13.38,215.17,42.39,0,80.91
0.2,46.25,5.36,34.4,13.67,218.57,42.43,0,82.55
0.18,47.51,5.33,34.73,13.61,216.94,42.27,0,83.75
0.18,46.55,5.17,34.16,13.46,216.32,41.46,0,81.61
0.18,46.5,5.25,34.6,13.55,214.51,41,0,79.91
0.17,46.65,5.17,35.03,13.38,213.76,40.18,0,80.5
0.17,47.48,5.32,35.13,13.09,214.94,41.37,0,81.51
0.17,47.08,5.26,34.7,13.12,215.62,41.46,0,81.54
0.18,46.01,5.22,34.39,12.96,213.32,40.62,0,81.82
0.15,46.72,5.28,34.95,12.88,212.73,40.4,0,83.52
0.15,46.89,5.18,34.97,12.76,210.76,40.1,0,82.91
0.18,45.31,5.12,34.52,12.5,222.1,39.13,0,83.82
0.16,44.98,5.1,34.66,12.59,223.18,39.18,0,84.1
0.16,44.95,5.31,34.7,12.62,228.67,43.9,0,84.89
0.16,44.89,5.25,34.76,12.62,226.27,43.61,0,84.63
0.16,45.31,5.35,35.12,12.43,221.61,42.73,0,84.62
0.21,44.72,5.31,35.21,12.38,217.77,40.62,0,82.31
0.2,42.98,5.27,33.1,12.16,225.69,40.59,0,82.31
0.2,43.75,5.2,33.95,12.36,223.71,41.12,0,83.49
0.18,41.72,5.4,33.38,12.35,226.96,42,0,83.5
0.18,43.13,5.53,33.55,12.5,227.2,41.77,0,84.56
0.2,43.02,5.64,33.34,12.58,225.09,40.97,0,87.52
0.21,43.34,5.57,33.65,12.61,222.93,41.14,0,88.83
0.21,44.16,5.68,33.82,12.53,219.16,42.88,0,87.51
0.23,46.03,5.54,34.58,12.65,214.88,41.15,0,88.5
0.23,46.33,5.35,33.91,12.62,212.18,40.05,0,89.2
0.23,47.39,5.26,35.18,12.81,213.15,41.64,0,90.63
0.24,47.53,5.25,34.59,12.61,209.96,39.51,0,89
0.21,46.62,5.2,34.2,12.91,202.75,39.43,0,90.46
0.24,45.29,5.14,34.19,12.54,198.47,40.88,0,90.47
0.24,44.57,5.13,33.85,12.88,199.23,41.1,0,88.07
0.18,44.89,5.13,34.88,12.68,200.88,41.58,0,88.35
