"BATS.EPS.","ID.GUD.EPS.","X.IMBBY.EPS.","U.VGR.EPS.","U.STZ.EPS.","U.TPB.EPS.","U.RLX.EPS.","U.PM.EPS."
2.57,0.19,3.21,0.46,4.33,0,0,4.65
2.57,0.19,3.21,0.46,4.33,0,0,4.65
2.57,0.2,3.21,0.46,4.33,0,0,4.65
2.57,0.2,3.21,0.46,4.33,0,0,4.65
2.57,0.2,2.73,0.46,4.33,0,0,4.65
2.57,0.2,2.73,0.46,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.33,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.65
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.57,0.2,2.73,0.43,4.53,0,0,4.42
2.74,0.2,2.73,0.43,4.53,0,0,4.42
2.74,0.2,2.73,0.43,4.53,0,0,4.42
2.74,0.2,2.73,0.43,4.53,0,0,4.42
2.74,0.2,2.73,0.43,4.53,0,0,4.42
2.74,0.2,2.73,0.43,4.53,0,0,4.42
2.74,0.2,2.73,0.43,4.53,0,0,4.42
2.74,0.2,2.73,0.43,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.2,2.73,0.4,4.53,0,0,4.42
2.74,0.24,2.73,0.4,4.53,0,0,4.42
2.74,0.24,2.73,0.4,4.53,0,0,4.42
2.74,0.24,2.73,0.4,4.53,0,0,4.42
2.74,0.24,2.73,0.4,4.53,0,0,4.42
2.74,0.24,2.73,0.4,4.53,0,0,4.42
2.74,0.24,2.73,0.4,4.53,0,0,4.42
2.74,0.24,2.73,0.4,4.53,0,0,4.42
2.74,0.24,2.73,0.4,4.53,0,0,4.42
2.74,0.24,2.73,0.4,4.64,0,0,4.42
2.74,0.24,2.73,0.4,4.64,0,0,4.42
2.74,0.24,2.73,0.4,4.64,0,0,4.42
2.74,0.24,2.73,0.4,4.64,0,0,4.42
2.74,0.24,2.73,0.4,4.64,0,0,4.42
2.74,0.24,2.73,0.4,4.64,0,0,4.42
2.74,0.24,2.73,0.4,4.64,0,0,4.42
2.74,0.24,2.73,0.4,4.64,0,0,4.25
2.74,0.24,2.73,0.4,4.64,0,0,4.25
2.74,0.24,2.73,0.4,4.64,0,0,4.25
2.74,0.24,2.73,0.4,4.64,0,0,4.25
2.74,0.24,2.73,0.4,4.64,0,0,4.25
2.74,0.24,2.73,0.4,4.64,0,0,4.25
2.74,0.25,2.73,0.4,4.64,0,0,4.25
2.74,0.25,2.73,0.4,4.64,0,0,4.25
2.74,0.25,2.73,0.39,4.64,0,0,4.25
2.74,0.25,2.73,0.39,4.64,0,0,4.25
2.74,0.25,2.73,0.39,4.64,0,0,4.25
2.74,0.25,2.73,0.39,4.64,0,0,4.25
2.74,0.25,2.73,0.39,4.64,0,0,4.25
2.74,0.25,2.73,0.39,4.64,0,0,4.25
2.74,0.25,2.73,0.39,4.64,0,0,4.25
2.74,0.25,2.73,0.39,4.64,0.01,0,4.25
2.74,0.25,2.73,0.39,4.64,0.01,0,4.25
2.74,0.25,2.73,0.39,4.64,0.02,0,4.25
2.74,0.25,2.73,0.39,4.64,0.03,0,4.25
2.74,0.25,2.73,0.39,4.64,0.04,0,4.25
2.74,0.25,2.73,0.39,4.64,0.05,0,4.25
2.74,0.25,2.73,0.39,4.64,0.07,0,4.25
2.74,0.25,2.73,0.39,4.64,0.08,0,4.25
2.74,0.25,2.73,0.39,4.64,0.1,0,4.25
2.74,0.25,2.73,0.39,4.64,0.12,0,4.25
2.74,0.25,2.73,0.39,4.64,0.14,0,4.25
2.74,0.25,2.73,0.39,4.64,0.16,0,4.25
2.74,0.25,2.73,0.39,4.64,0.18,0,4.25
2.74,0.25,2.73,0.39,4.64,0.2,0,4.25
2.74,0.25,2.73,0.39,4.64,0.22,0,4.25
2.74,0.25,2.73,0.39,4.64,0.23,0,4.25
2.74,0.25,2.73,0.39,4.64,0.25,0,4.25
2.74,0.25,2.73,0.39,4.64,0.27,0,4.25
2.74,0.25,2.73,0.39,4.64,0.29,0,4.25
2.74,0.25,2.73,0.39,4.64,0.31,0,4.25
2.74,0.25,2.73,0.39,4.64,0.33,0,4.25
2.74,0.25,2.73,0.39,4.64,0.35,0,4.25
2.74,0.25,2.73,0.39,4.64,0.36,0,4.25
2.74,0.25,2.73,0.39,4.64,0.38,0,4.25
2.74,0.25,2.73,0.39,4.64,0.39,0,4.25
2.74,0.25,2.73,0.39,4.64,0.4,0,4.25
2.74,0.25,2.73,0.39,4.64,0.41,0,4.25
2.74,0.25,2.73,0.39,4.64,0.42,0,4.25
2.74,0.25,2.73,0.39,4.64,0.42,0,4.25
2.74,0.25,2.73,0.39,4.64,0.43,0,4.25
2.74,0.25,2.73,0.39,4.64,0.43,0,4.25
2.74,0.25,2.73,0.39,4.64,0.43,0,4.25
2.74,0.25,2.73,0.39,4.64,0.43,0,4.25
2.74,0.25,2.73,0.39,4.64,0.43,0,4.25
2.74,0.25,2.73,0.39,4.64,0.43,0,4.25
2.74,0.25,2.73,0.39,4.64,0.43,0,4.25
2.74,0.25,2.73,0.39,4.64,0.43,0,4.25
2.74,0.25,2.73,0.39,4.64,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.25
2.74,0.25,2.73,0.39,4.98,0.43,0,4.19
2.74,0.25,2.73,0.39,4.98,0.43,0,4.19
2.74,0.25,2.73,0.39,4.98,0.43,0,4.19
2.74,0.25,2.73,0.39,4.98,0.43,0,4.19
2.74,0.25,2.73,0.39,4.98,0.43,0,4.19
2.89,0.25,2.73,0.39,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.43,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,4.98,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.19
2.89,0.25,2.73,0.43,5.53,0.61,0,4.18
2.89,0.25,2.73,0.43,5.53,0.61,0,4.18
2.89,0.25,2.73,0.43,5.53,0.61,0,4.18
2.89,0.25,2.73,0.43,5.53,0.61,0,4.18
2.89,0.25,2.73,0.43,5.53,0.61,0,4.18
2.89,0.25,2.73,0.43,5.53,0.61,0,4.18
2.89,0.25,2.73,0.43,5.53,0.61,0,4.18
2.89,0.26,2.73,0.43,5.53,0.61,0,4.18
2.89,0.26,2.73,0.43,5.53,0.61,0,4.18
2.89,0.26,2.73,0.43,5.53,0.61,0,4.18
2.89,0.26,2.73,0.43,5.53,0.61,0,4.18
2.89,0.26,2.73,0.43,5.53,0.61,0,4.18
2.89,0.26,2.73,0.43,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.61,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,5.53,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.18
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.89,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
2.7,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,0.71,0,4.48
3.02,0.26,2.73,0.5,6.29,1.49,0,4.48
3.02,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.26,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.5,6.29,1.49,0,4.48
3.29,0.25,2.73,0.48,6.29,1.49,0,4.48
3.29,0.25,2.73,0.48,6.29,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.48
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
